Country - Currency Description,Exchange Rate,Effective Date
Tajikistan-Somoni,9.54,2026-03-31
Tanzania-Shilling,2565.0,2026-03-31
Thailand-Baht,32.79,2026-03-31
Timor-Leste-Dili,1.0,2026-03-31
Togo-Cfa Franc,567.0,2026-03-31
Tonga-Pa'Anga,2.323,2026-03-31
Trinidad & Tobago-Dollar,6.762,2026-03-31
Tunisia-Dinar,2.922,2026-03-31
Turkey-New Lira,44.478,2026-03-31
Turkmenistan-New Manat,3.491,2026-03-31
Uganda-Shilling,3760.0,2026-03-31
Ukraine-Hryvnia,43.9,2026-03-31
United Arab Emirates-Dirham,3.672,2026-03-31
United Kingdom-Pound,0.756,2026-03-31
Uruguay-Peso,40.56,2026-03-31
Uzbekistan-Som,12180.0,2026-03-31
Vanuatu-Vatu,118.05,2026-03-31
Venezuela-Bolivar Soberano,472.686,2026-03-31
Vietnam-Dong,26323.0,2026-03-31
Western Samoa-Tala,2.667,2026-03-31
Yemen-Rial,528.0,2026-03-31
Zambia-New Kwacha,19.135,2026-03-31
Zimbabwe-Gold,24.839,2026-03-31
